,time,ppg,ppg2,acc_x,acc_y,acc_z,hr_quality,reference_hr,estimated_hr,sampled_estimated_hr,hr_online
47,1.8800000000000001,258922.07148293874,-49963.87294293114,784.4385095058739,-31.122980988252298,-580.4385095058739,1.0,87.23623424000002,,,92.0
48,1.92,257894.00231359067,-50747.25412477569,787.5511719937375,-17.795312025049867,-587.102343987475,1.0,87.22886656000001,,,92.0
49,1.96,256906.874508053,-51268.90077801025,780.9014187646585,-19.54929061767075,-580.9014187646585,2.0,87.221248,,,92.0
50,2.0,256351.47948330545,-51597.95896655131,790.604863221341,-27.069908814227325,-604.7446808497956,2.0,87.21337600000001,,,92.0
51,2.04,254610.24692082006,-53100.56298772786,792.0,-10.351829269219461,-593.8814634153756,2.0,87.205248,,,92.0
52,2.08,249711.8349774195,-58712.96210016625,784.9592694067701,-25.60182648307475,-570.8778082203103,2.0,87.19687168000002,,,92.0
53,2.12,245548.92413393178,-65012.63109392021,787.5050455925132,-28.0,-585.5252279625656,2.0,87.18825472000002,,,92.0
54,2.16,243400.047591556,-69164.64804859168,798.4989024384356,-17.501097561564386,-591.4996341461452,2.0,87.17940480000001,,,92.0
55,2.2,241890.0968822021,-71466.60897327993,789.5367300386212,-22.975513307585913,-585.024486692414,2.0,87.17032960000002,,,92.0
56,2.24,240921.45838665144,-72535.53656007492,774.0904718425176,-34.4321461181118,-577.0452359212588,2.0,87.1610368,,,92.0
57,2.2800000000000002,240090.9071744523,-73434.15603955754,785.8801523220966,-32.52996191947585,-582.9400761610483,2.0,87.15153408000003,,,92.0
58,2.32,238676.67102669537,-75093.46107975421,801.8313003793869,-25.084349810306563,-587.4578250948467,2.0,87.14182912000001,,,92.0
59,2.36,237014.35247533806,-77275.65498845525,800.5499466871906,-20.54994668719066,-588.0,3.0,87.13192960000002,,,92.0
60,2.4,235818.79070836256,-78858.0889565074,782.7844630627803,-33.77242954977577,-567.3413556753363,3.0,87.12184320000001,,,92.0
61,2.44,235202.55436408147,-79703.12603194661,776.5638385379215,-22.25535415168582,-574.3084843862356,3.0,87.11157760000003,,,92.0
62,2.48,234689.91638300742,-80263.90130696095,786.2641945282014,-20.0,-579.4213981760671,3.0,87.10114048,,,92.0
63,2.52,234179.9726123674,-80625.99637469529,805.0656511793587,-20.0,-600.4787814152304,3.0,87.09053952000002,,,92.0
64,2.56,233888.37733029702,-80753.46175438061,790.9430968737802,-26.822761250487908,-576.7089549980484,3.0,87.07978240000003,,,92.0
65,2.6,233686.34305240322,-80940.99316627496,774.4200455590279,-34.78997722048604,-578.7899772204861,3.0,87.06887680000004,,,91.15125284743924
66,2.64,233397.75829270127,-81117.71756096529,792.33268292539,-29.22243902486999,-596.943902437825,3.0,87.05783040000004,,,91.0
67,2.68,233347.61769992407,-81274.21855292284,785.8530997722456,-24.617699924081858,-579.7061995444911,3.0,87.04665088000003,,,91.0
68,2.72,232512.66234048657,-81959.74510633457,797.4706382968868,-20.632340425778306,-589.4706382968868,3.0,87.03534592000004,,,91.0
69,2.7600000000000002,228717.07201855019,-86085.72901721863,779.844386901732,-23.359268849711334,-578.5629246011547,5.0,87.02392320000004,,,91.0
70,2.8000000000000003,224346.62557105505,-92569.57260230591,776.0,-27.349771689243696,-589.3990867569747,5.0,87.01239040000003,,,91.0
71,2.84,221989.40577959447,-97537.02339133742,789.348988592126,-17.988258555905446,-592.0,5.0,87.00075520000004,,,91.0
72,2.88,220879.1871646957,-100423.70932910174,785.336341463938,-22.66365853606201,-582.004512195907,5.0,86.98902528000005,,,91.0
73,2.92,220425.66013690576,-101718.92766532989,784.0,-20.679665399504252,-596.6016730024787,5.0,86.97720832000005,,,91.0
74,2.96,220150.68834096106,-102521.73089797063,780.6901674279702,-29.92949771608936,-583.450837139851,5.0,86.96531200000005,,,91.0
75,3.0,219130.15232300508,-103982.02589478748,783.302361005059,-32.0,-580.0,5.0,86.95334400000006,,,91.0
76,3.04,218085.6876278353,-106049.36445446518,797.2017696403893,-28.699557589902668,-599.802654460584,5.0,86.94131200000005,,,91.0
77,3.08,217586.93466973113,-107884.70050101531,796.7154441916227,-31.28455580837725,-590.8617767664911,5.0,86.92922368000006,,,91.0
78,3.12,217340.2613698783,-108988.32325716183,782.9082496206147,-22.181187215461037,-584.7270624051537,5.0,86.91708672000006,,,91.0
79,3.16,217505.24542681134,-109511.85118899374,776.7320731710188,-16.732073171018826,-584.0,6.0,86.90490880000006,,,91.0
80,3.2,218110.3172623076,-109713.74996196617,792.2828897323899,-12.74342205352203,-593.7697338394339,6.0,86.89269760000006,,,91.0
81,3.24,218668.7542682537,-109824.89987804128,792.7490243905382,-5.498048781076582,-596.0,6.0,86.88046080000005,,,91.0
82,3.2800000000000002,218924.31385549897,-109898.26439543228,775.801673005289,-23.437992393653204,-576.5620076063468,6.0,86.86820608000005,,,91.0
83,3.3200000000000003,219075.54594675737,-109928.74655513142,772.0,-24.77335361246827,-591.3598783251904,6.0,86.85594112000004,,,91.0
84,3.36,219547.49463410422,-109745.37817074949,775.2209756094508,-17.55804878109839,-592.7790243905492,6.0,86.84367360000005,,,91.0
85,3.4,219478.86524391934,-110084.44024386552,795.3024390225366,-19.21707317042278,-598.4341463408456,6.0,86.83141120000005,,,91.0
86,3.44,215966.94669737617,-113973.55243698842,783.9951404723238,-23.200971905535248,-583.9951404723238,6.0,86.81916160000004,,,91.0
87,3.48,211174.14800954206,-120649.8567194939,783.1964607166935,-24.0,-592.7858428667739,6.0,86.80693248000004,,,91.0
88,3.52,208245.08632238297,-126004.0702731642,790.3669300905477,-11.26613981890461,-605.5503951358215,6.0,86.79473152000004,,,91.0
89,3.56,206754.88273982704,-128987.47616418202,782.4832876722018,-14.344474885198805,-592.138812787003,7.0,86.78256640000004,,,91.0
90,3.6,205856.13079854517,-130419.56593146437,773.6803041831622,-31.799239542094476,-581.6803041831622,7.0,86.77044480000004,,,91.0
91,3.64,205337.48030491458,-131240.97496945158,775.1540243899132,-29.69195122017366,-589.4620731697395,7.0,86.75837440000004,,,91.0
92,3.68,204617.77012934405,-132349.0951481878,794.8576121652987,-15.4282585564675,-604.5717414435325,7.0,86.74636288000002,,,91.0
93,3.72,203286.08177111746,-134047.18760289848,774.8650992393493,-18.28372519016266,-582.8650992393493,7.0,86.73441792000004,,,91.0
94,3.7600000000000002,201976.09428582233,-135675.45951354335,777.3891793302852,-29.389179330285195,-601.0378115474272,7.0,86.72254720000002,,,91.0
95,3.8000000000000003,201421.8929277874,-136557.29688206976,789.3481368810958,-19.53581749187223,-598.6518631189042,7.0,86.71075840000003,,,90.22098859324201
96,3.84,201263.7522924689,-136830.4254379149,792.0,-22.215506473027016,-596.0,7.0,86.69905920000004,,,90.0
97,3.88,201054.17635950333,-136785.92941356573,779.5967707554075,-27.10080731114811,-592.8991926888519,7.0,86.68745728000003,,,90.0
98,3.92,201074.13974143635,-136565.29402283643,776.0,-31.08915589318076,-592.0,7.0,86.67596032000004,,,90.0
99,3.96,201169.1138508286,-136266.1091020068,788.313911718502,-22.764566211123444,-610.4708675777531,8.0,86.66457600000004,,,90.0
100,4.0,201356.43511448425,-135955.46564888317,782.7664122148325,-16.922137404944152,-594.4549618346091,8.0,86.65331200000004,,,90.0
101,4.04,201313.39368741622,-135665.877693501,761.631805768505,-37.42955993674413,-588.0,8.0,86.64217600000005,,,90.0
102,4.08,201454.19305934018,-135215.64815834182,798.6793302840113,-25.70885844970947,-606.2911415502905,8.0,86.63117056000003,,,90.0
103,4.12,199711.52926851355,-136742.35536565114,802.870487806001,-13.913658537334058,-618.0863414626659,8.0,86.62029824000004,,,90.0
104,4.16,194831.22978000442,-142135.2359537663,781.8059923976999,-21.097003801150016,-592.70898859655,8.0,86.60956160000005,,,90.0
105,4.2,190455.8041099671,-148009.6409431388,769.9567732123298,-30.0432267876702,-577.9567732123298,8.0,86.59896320000003,,,90.0
106,4.24,188351.76520958878,-151586.31235311096,786.083533889541,-22.958233055229506,-606.139223149235,8.0,86.58850560000003,,,90.0
107,4.28,187428.55784037558,-153026.33213678814,782.9927908756887,-20.0,-600.9879847928145,8.0,86.57819136000003,,,90.0
108,4.32,186855.78811886287,-153550.92709821122,777.0060624527913,-34.96968773604347,-596.0,8.0,86.56802304000003,,,90.0
109,4.36,186066.36834738354,-153999.21175928297,776.0,-31.039025134470112,-601.9739832436866,9.0,86.55800320000002,,,90.0
110,4.4,184760.65703436563,-154944.70494285508,793.8530798455155,-22.04897338482817,-618.8775665379296,9.0,86.5481344,,,90.0
111,4.44,183519.40874345388,-156134.67884222273,788.131972583486,-14.065986291743014,-609.1649657293575,9.0,86.5384192,,,90.0
112,4.48,182644.22821028435,-156839.98802736454,775.1198172137107,-26.80030464381547,-595.1198172137107,9.0,86.52886016000001,,,90.0
113,4.5200000000000005,182224.80185554363,-156947.51376426267,786.7431178686737,-26.102752852530536,-594.9486235737347,9.0,86.51945984000001,,,90.0
114,4.5600000000000005,182243.2142161204,-156624.8546423575,794.9378386601647,-26.937838660164694,-601.8756773203294,9.0,86.5102208,,,90.0
115,4.6000000000000005,182550.705487766,-155922.6042683767,787.2030487817417,-25.067682927247226,-604.0,9.0,86.5011456,,,90.0
116,4.64,182644.89085106456,-155297.0784499072,769.4024316130439,-24.0,-583.5634042582614,9.0,86.4922368,,,90.0
117,4.68,182677.92118811372,-154691.7520792741,790.1908910852848,-24.0,-610.921188113713,9.0,86.48349696,,,90.0
118,4.72,183063.7712632631,-153751.07421624774,794.1981126340376,-18.198112634037546,-600.7924505361502,9.0,86.47492864000002,,,90.0
119,4.76,183418.20821914624,-152882.2536987163,771.7632876742557,-24.67287671103325,-583.3271232889667,10.0,86.46653440000001,,,90.0
120,4.8,183593.70297028287,-151985.61782188425,772.6495049491876,-28.0,-591.5326732655835,10.0,86.45831680000002,,,90.0
121,4.84,183480.4364356664,-151534.88837778976,787.504889564122,-19.371332826908542,-607.504889564122,10.0,86.45027840000002,,,90.0
122,4.88,180232.63610695637,-154459.8472086624,803.4596501883445,-16.0,-600.5403498116555,10.0,86.44242176000002,,,90.0
123,4.92,175080.33790015153,-160066.09095821314,773.7512328820686,-30.270319632471423,-584.5837442940228,10.0,86.43474944000002,,,90.0
124,4.96,171666.8183844394,-164402.14896300927,782.7873170695653,-24.606341465217312,-605.6357317032611,10.0,86.42726400000002,,,90.0
125,5.0,170261.49696059118,-166327.04407280634,794.8358662609453,-11.49240121716424,-604.6565349562189,10.0,86.41996800000003,,,89.29103343476369
126,5.04,169578.9739726696,-166720.24109588584,781.8794520570807,-27.76876712008698,-585.8794520570807,10.0,86.41286400000001,,,89.0
127,5.08,169005.68179747622,-166570.7686519685,773.1837319121139,-41.63253617577215,-580.0,10.0,86.40595200000003,,,89.0
128,5.12,167939.40286164015,-166879.8644748235,786.0359208500367,-29.964079149963286,-596.843105020044,10.0,86.39923200000003,,,89.0
129,5.16,166714.64438370278,-167802.2368339668,797.5943987814077,-24.0,-604.0,11.0,86.39270400000002,,,89.0
130,5.2,165619.79893386347,-168635.56740280858,794.4213252103882,-29.578674789611746,-595.6319878155824,11.0,86.38636800000002,,,89.0
131,5.24,165003.34783275067,-168820.96754373205,775.3310418279452,-29.221840304657533,-572.5528821326027,11.0,86.38022400000003,,,89.0
132,5.28,165042.1855707468,-168559.7151903014,787.3707153695541,-22.465509894413128,-586.1379604223475,11.0,86.374272,,,89.0
133,5.32,165287.57150681963,-167850.29589051593,787.7282191795301,-22.75726027348996,-587.7282191795301,11.0,86.36851200000001,,,89.0
134,5.36,165336.50632140622,-167096.7985987146,789.4987357187525,-29.498735718752535,-589.4987357187525,11.0,86.362944,,,89.0
135,5.4,165270.5634703292,-166268.64566220922,792.0,-26.519330290173105,-586.5193302901731,11.0,86.357568,,,89.0
136,5.44,165418.27426826154,-165576.7722866599,797.4690243892553,-24.0,-597.6725609731384,11.0,86.352384,,,89.0
137,5.48,165476.8860532358,-164862.9189962931,789.1024790894396,-24.0,-593.1024790894396,11.0,86.347392,,,89.0
138,5.5200000000000005,165287.77757809858,-164247.33544561296,764.9915613134854,-32.146473722791995,-582.5690175181387,11.0,86.34259200000001,,,89.0
139,5.5600000000000005,165331.46022811293,-163644.70071490854,769.5221292750464,-27.886722434972175,-598.9309809850649,12.0,86.33798400000002,,,89.0
140,5.6000000000000005,165591.11972578138,-163107.10495055784,786.7820258928634,-18.608987053568274,-597.2179741071366,12.0,86.333568,,,89.0
141,5.64,163397.8169434018,-164876.1349958301,797.3689429647569,-10.631057035243103,-594.6844714823784,12.0,86.329344,,,89.0
142,5.68,158287.4660175243,-169884.77970980335,773.2447829449894,-29.404173644008477,-577.2713480614926,12.0,86.325312,,,89.0
143,5.72,154038.43719983383,-174856.53147583178,781.3323592043721,-29.333820397813934,-591.9989041049187,12.0,86.32147200000001,,,89.0
144,5.76,152303.23749821066,-177591.76872591642,792.0,-16.01208238143397,-588.0241647628679,12.0,86.31782400000002,,,89.0
145,5.8,151547.92118460042,-178409.46332570317,789.3503416861741,-27.897949882954833,-590.5986332553032,12.0,86.31436800000002,,,89.0
146,5.84,151124.041949772,-178326.89459257197,785.3614013714365,-36.0,-601.2771972571269,12.0,86.31110400000001,,,89.0
147,5.88,150527.9961644844,-178382.91780818917,789.2592998467261,-25.481400306547798,-611.8889497700892,12.0,86.30803200000003,,,89.0
148,5.92,149551.21175052767,-179241.97004550177,781.5213394237617,-27.858995432178723,-597.6623439915829,12.0,86.30515200000004,,,89.0
149,5.96,148487.43716693565,-180386.57285590304,776.0,-37.22333587096651,-598.446671741933,13.0,86.30246400000003,,,89.0
150,6.0,148168.54794519595,-181003.73972597977,783.8082191764491,-26.986301372584688,-598.7945205490339,13.0,86.29996800000004,,,89.0
151,6.04,148406.7396197267,-181087.78594677613,790.5907832694145,-12.227650191756709,-596.0,13.0,86.29766400000003,,,89.0
152,6.08,148848.2930387728,-180663.6108150139,789.4183092160889,-23.490144703466296,-588.2549276482669,13.0,86.29554688000002,,,89.0
153,6.12,149539.62748847384,-179860.5505024086,782.8544292248547,-37.145570775145266,-586.5727853875726,13.0,86.29361152000001,,,89.0
154,6.16,150514.03406377646,-178903.0661493013,790.2512024330766,-29.74879756692338,-595.6884018248074,13.0,86.29185280000002,,,89.0
155,6.2,151388.9591773487,-177930.66412808705,785.7809596366766,-29.109520181661694,-594.8904798183383,13.0,86.29026560000001,,,89.0
156,6.24,152299.5593910309,-176932.16535783096,780.0,-32.0,-594.5458751896927,13.0,86.2888448,,,89.0
157,6.28,153413.31972606695,-175924.97554386914,772.398114070149,-29.466038023382993,-588.398114070149,13.0,86.28758528,,,89.0
158,6.32,154581.3767986138,-174824.88655504445,778.1068292659958,-28.0,-601.6869512154925,13.0,86.28648192000001,,,89.0
159,6.36,155406.66936776877,-173770.93023624417,784.0,-28.0,-596.8746991656885,13.0,86.28552960000002,,,89.0
160,6.4,153584.5246205359,-175311.11823664102,786.5082066863504,-30.50820668635035,-600.5410334317518,13.0,86.2847232,,,89.0
161,6.44,149651.20584983483,-179995.44804181956,785.5021477538215,-29.50214775382156,-598.0085910152862,13.0,86.2840576,,,89.0
162,6.48,146913.6107683224,-184229.74926186146,779.02576425973,-28.0,-587.02576425973,13.0,86.28352768,,,89.0
163,6.5200000000000005,146075.71615857584,-186065.56506084217,780.9595121939371,-32.95951219393713,-588.9595121939371,13.0,86.28312831999999,,,89.0
164,6.5600000000000005,146268.56012169493,-186223.82964996825,784.0,-31.055829529348575,-594.4720852353257,13.0,86.28285439999999,,,89.0
165,6.6000000000000005,146844.23610043727,-185783.5232293254,781.5360243722672,-25.53602437226716,-598.4639756277328,13.0,86.28270079999999,,,89.0
166,6.640000000000001,147095.51571428435,-185651.7042856967,777.548571429173,-28.90285714165418,-595.0971428583458,13.0,86.28266239999999,,,89.0
